TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,44.1,37.0,76,30.40,10.0,East,20.7,28.8,0.00,,Overcast,80,2014-04-30 04:51:00
1:51 AM,44.1,37.0,76,30.40,10.0,ENE,18.4,23.0,N/A,,Overcast,70,2014-04-30 05:51:00
2:51 AM,44.1,37.0,76,30.37,10.0,ENE,15.0,-,0.00,Rain,Light Rain,70,2014-04-30 06:51:00
3:20 AM,42.8,37.4,81,30.36,7.0,ENE,16.1,24.2,0.06,Rain,Rain,70,2014-04-30 07:20:00
3:44 AM,42.8,37.4,81,30.36,8.0,ENE,16.1,23.0,0.09,Rain,Rain,70,2014-04-30 07:44:00
3:51 AM,43.0,37.0,80,30.37,9.0,ENE,17.3,23.0,0.10,Rain,Light Rain,70,2014-04-30 07:51:00
4:51 AM,42.1,37.9,85,30.36,6.0,ENE,18.4,-,0.10,Rain,Heavy Rain,60,2014-04-30 08:51:00
5:51 AM,43.0,37.9,82,30.35,10.0,ENE,20.7,-,0.02,Rain,Light Rain,70,2014-04-30 09:51:00
6:13 AM,42.8,39.2,87,30.35,5.0,ENE,17.3,27.6,0.03,Rain,Rain,70,2014-04-30 10:13:00
6:51 AM,43.0,39.0,86,30.35,5.0,East,17.3,-,0.04,Rain,Rain,80,2014-04-30 10:51:00
7:51 AM,44.1,41.0,89,30.35,4.0,ENE,15.0,21.9,0.08,Rain,Light Rain,70,2014-04-30 11:51:00
8:14 AM,44.6,41.0,87,30.35,2.5,East,19.6,28.8,0.03,Rain,Heavy Rain,80,2014-04-30 12:14:00
8:51 AM,45.0,41.0,86,30.35,2.5,East,25.3,33.4,0.10,Rain,Light Rain,80,2014-04-30 12:51:00
9:51 AM,45.0,41.0,86,30.33,2.5,East,23.0,36.8,0.03,Rain,Light Rain,90,2014-04-30 13:51:00
10:51 AM,45.0,41.0,86,30.32,2.5,East,18.4,33.4,0.08,Rain,Rain,90,2014-04-30 14:51:00
11:51 AM,46.0,42.1,86,30.31,2.5,East,18.4,32.2,0.16,Rain,Rain,80,2014-04-30 15:51:00
12:51 PM,46.0,43.0,89,30.29,2.5,East,18.4,28.8,0.18,Rain,Heavy Rain,80,2014-04-30 16:51:00
1:18 PM,46.4,42.8,87,30.29,2.5,East,21.9,28.8,0.13,Rain,Heavy Rain,90,2014-04-30 17:18:00
1:51 PM,46.9,44.1,90,30.28,2.0,East,17.3,24.2,0.33,Rain,Heavy Rain,80,2014-04-30 17:51:00
2:51 PM,46.9,44.1,90,30.24,2.5,East,19.6,34.5,0.14,Rain,Light Rain,90,2014-04-30 18:51:00
3:51 PM,46.9,44.1,90,30.22,2.5,East,26.5,32.2,0.01,Rain,Light Rain,90,2014-04-30 19:51:00
4:51 PM,48.0,45.0,89,30.20,2.5,East,19.6,31.1,0.11,Rain,Rain,80,2014-04-30 20:51:00
5:45 PM,48.2,46.4,93,30.20,1.0,ENE,17.3,26.5,0.21,Rain,Heavy Rain,70,2014-04-30 21:45:00
5:51 PM,48.9,46.0,90,30.20,1.0,ENE,18.4,24.2,0.29,Rain,Heavy Rain,70,2014-04-30 21:51:00
6:51 PM,48.9,46.0,90,30.17,1.0,ENE,17.3,-,0.57,Rain,Heavy Rain,70,2014-04-30 22:51:00
7:51 PM,50.0,46.9,89,30.13,1.0,East,18.4,25.3,0.46,Rain,Rain,90,2014-04-30 23:51:00
8:18 PM,50.0,48.2,94,30.10,4.0,East,24.2,35.7,0.14,Rain,Rain,90,2014-05-01 00:18:00
8:51 PM,51.1,48.0,89,30.08,4.0,ESE,28.8,39.1,0.24,Rain,Rain,110,2014-05-01 00:51:00
9:51 PM,51.1,48.9,92,30.05,4.0,ESE,23.0,29.9,0.42,Rain,Heavy Rain,110,2014-05-01 01:51:00
10:22 PM,51.8,48.2,88,30.02,2.0,ESE,20.7,36.8,0.20,Rain,Heavy Rain,110,2014-05-01 02:22:00
10:51 PM,52.0,51.1,97,30.04,2.0,Variable,6.9,16.1,0.50,Rain,Heavy Rain,0,2014-05-01 02:51:00
11:00 PM,53.6,51.8,94,30.02,2.0,Variable,6.9,-,0.03,Rain,Rain,0,2014-05-01 03:00:00
11:27 PM,55.4,53.6,94,30.00,3.0,South,13.8,-,0.41,Rain,Heavy Rain,170,2014-05-01 03:27:00
11:51 PM,55.0,52.0,89,29.97,3.0,SSE,15.0,24.2,0.55,Rain,Light Rain,150,2014-05-01 03:51:00